date	title	news
2022/8/31	《國際經濟》汽油價跌回俄烏戰前 美國人加油壓力緩解	<p>周二美國汽油批發價格跌回了俄羅斯入侵烏克蘭之前的價位，意味著未來幾周其民眾在加油時的壓力可望進一步緩解。</p><p></p><p>周二美國汽油期貨價格收在每加侖2.6944美元，創下2月18日來新低。美國是全球最大的汽油消費國。</p><p></p><p>俄羅斯總統普丁在今年2月24日清晨發表全國電視演說，以「去軍事化」和「去納粹化」為名對烏克蘭發動「特別軍事行動」，正式揮軍入侵烏克蘭。隨之而來的一連串國際制裁則帶動整個能源市場的價格創下多年新高。</p><p></p><p></p><p></p><p>能源成本向來是推升全球通膨的主要原因。美國汽油期貨在6月初升至每加侖4.31美元，創下歷史新高。根據美國汽車協會（AAA）的數據，兩周後、在6月中旬零售汽油價格便站上了5.016美元，亦創下歷史新高。</p><p></p><p>惟隨著夏季接近尾聲、需求持續下滑，汽油價格也開始回落。Again Capital LLC合夥人John Kilduff表示，從現在起需求只會惡化。</p><p></p><p>此外，全球經濟可能陷入衰退，以及國家戰備儲油以前所未見的規模緊急釋油，亦有助於抑制急升的原油和汽油價格。</p><p></p><p>與6月創下的歷史高點相比，美國汽油批發價格已下滑37%，而零售價格下跌23%。每個州的汽油價格都在走跌，其中以中西部地區跌最多。</p><p></p><p></p>
2022/8/31	7月製造業景氣燈號連5黃藍燈 信號值今年最低	<p>全球經濟下行壓力升溫，外銷訂單由正轉負，突顯出全球終端市場需求疲軟，直接影響台灣製造業的景氣。台灣經濟研究院31日公布7月製造業景氣概況，製造業景氣信號值由上（6）月的12.18分，減少0.30分至本月的11.88分，燈號續為代表景氣低迷的黃藍燈。</p><p></p><p>上述信號值11.88分為今年各月的最低值，且連續5個亮出黃藍燈。</p><p></p><p>台經院景氣預測中心分析，全球通膨壓力未減，影響歐美國家的經濟表現，中國堅持清零封控衝擊其產銷活動，加上房地產持續低迷，為全球供應鏈及需求帶來更多不確定性。</p><p></p><p>國內製造業雖然受惠新興科技應用與數位轉型推展，支撐進出口續呈雙位數成長，仍然不克全球經濟下行壓力升溫，全球終端市場需求疲軟，外銷訂單衰退。台經院調查廠商看法，製造業廠商仍多看壞未來半年景氣表現。</p><p></p><p>台經院提醒，下半年經濟成長存有許多變數，主要有三大部份特別謹慎因應：一、中國近來的南旱北澇現象，衍生為限電的不定期發生，影響工業生產不確定性；二、俄烏戰事持續，國際農工、能源價格仍維持高檔震盪整理，通膨壓力未能有效壓抑，恐影響終端消費力；三、北半球極端氣候酷暑現象，歐洲河運受阻影響原物料及化工產品運輸、乾旱造成酪農減產、電價上漲等問題。</p>
2022/8/31	全球股基金 寵物、永續主題熱	<p>過去三個月，根據理柏資訊顯示，環球股票基金前30強不但繳出逾7％表現，在主題上也涵蓋多種主題，包括：顛覆式創新、全球機會、永續、再生能源與寵物新經濟等，相當多元。</p><p></p><p>法人表示，很多投資機會都是來自生活長期主題持續翻新與社會結構改變。以寵物主題為例，寵物指數與美國公債、拉美市場、能源及東南亞等領域相關性低，可適度納入投組，強化分散效果，提高多樣性及投資效率。</p><p></p><p>從投資趨勢來看，近年來主題式投資的抬頭也凸顯策略不再侷限於特定產業或區域，跨產業趨勢等主題式基金，更有助於掌握各類顛覆式創新所帶來的各種輪動機會。</p><p></p><p>以寵物經濟為例，近十年來寵物經濟規模持續穩步向上，周邊產業商機也成為人口結構改變及後疫情下的另一個亮點。回頭去看寵物經濟發展的脈絡，在寵物經濟背後的長期驅動力，主要是有銀髮族、千禧世代及新興市場飼主和寵物市場的影響力。受惠於全球人口結構、寵物與飼主的關係愈趨親密，加上疫情後、生活作息改變的推波助瀾，飼主對於寵物的支出金額日益上升。</p><p></p><p>法人表示，在這股趨勢抬頭下，與寵物商機息息相關的，包括核心消費中的家用商品及食物；醫療健護如寵物相關的醫療服務、製藥及醫療設備；非必須消費中的線上零售；金融相關的寵物保險等，都是寵物新經濟可以投資的範疇。</p><p></p><p>隨寵物逐步躍升為家庭的一份子，且無論經濟狀況如何，寵物仍都需日常食品、醫療保健和保險，加上核心消費較少受景氣影響，布局領域亦跨越跨多種產業，更有機會參與更多新興產業成長機會及併購，亦可因應循環性通膨壓力、掌握長線增值潛力。</p><p></p><p>富蘭克林證券投顧表示，美國面臨高通膨、貨幣政策緊縮及經濟成長放緩的環境，整體基本面不確定性仍高，建議投資布局攻守兼備，以採取靈活配置策略的美國價值平衡型基金為核心，股票投資建議採取分批加碼及定期定額策略介入，看好基礎建設及公用事業產業兼具抗景氣循環和政策做多利基，科技和生技產業型基金短線波動仍大但長期創新趨勢正向，維持定期定額策略。</p>
2022/8/31	龔明鑫：十年引進40萬海外人才	<p>國發會主委龔明鑫30日在「人才永續國際論壇」表示，隨著老化，工作年齡人口快速下滑，台灣需要引進更多海外人才，來協助產業發展，依國發會與教育部、經濟部等部會達成的共識，未來十年要引進海外人才40萬人。</p><p></p><p>龔明鑫應邀在「天下學習 X Cheers 2022人才永續國際論壇」演講，他表示，人才關注的第一是舞台，第二是薪水，過去代工的年代，為尋求低成本，人才、投資都往外流，自2016年起政府藉由5+2產業為人才創造舞台，尤其是數位轉型人才，他強調，如今很多物聯網（AIoT）、智慧城市所提供的薪水，都比台積電的薪水高非常多。</p><p></p><p>龔明鑫指出，上周國發會公布人口推估，未來幾年老年人口將快速增加，工作年齡人口（15～64歲）也將快速下降，我國將面臨人力不足的問題，為此國發會與教育部、僑委會、經濟部及勞動部研議，未來十年將引進40萬海外人才。</p><p></p><p>如何讓攬才人數目標40萬達標？龔明鑫表示，政府正循三個方向推動，第一循外國人才專法，給予外國特定專業人才就業金卡，讓他們三年內可隨時進出台灣，以吸引人才留台。第二，讓更多僑外生留台，目前一年僑外生（學位生）畢業人數1萬多人，未來希望能達到4萬，如果60％留下，每年便有2～3萬人留在台灣，十年就有20～30萬。第三，外籍移工有許多人很優秀，他們可以在工作後半工半讀留下來，也可以成為中階技術人力留台。</p><p></p><p>龔明鑫表示：「國發會、教育部等部會在引進海外人才的心態上已經改變，大家都有個認知，就是歡迎所有希望到台灣打拚的人才。」</p><p></p><p>國發會官員表示，國發會、教育部、勞動部、經濟部、僑委會五首長自去年起定期研議「人口移民政策」，總計已召開七次會議，這一攬才人數目標40萬，即五首長會議拍板的。</p>
2022/8/31	政策利率再下調 盛松成：可能性不大	"<p>大陸經濟復甦不如預期，市場關注貨幣政策是否繼續維持寬鬆。中國人民銀行調查統計司前司長盛松成30日表示，目前大陸經濟恢復和放緩並存，但預期持續下調政策利率的可能性不大。</p><p></p><p>證券時報報導，中歐國際工商學院教授盛松成出席第二屆中歐資管論壇演講時表示，雖然近日人行下調了中期借貸便利（MLF）和逆回購利率，但降息幅度有限、操作規模明顯縮減，既支援實體經濟，也抑制資金空轉。隨著政策利率下調，8月貸款市場報價利率（LPR）也採取非對稱降息，此舉有助激發企業和居民中長期貸款需求，也可減輕居民還貸壓力，緩解房地產業困難。</p><p></p><p>盛松成分析，過往逆回購平均操作規模都在人民幣（下同）百億元以上，但7、8月份的平均規模只有40億元和20億元，可見市場資金充裕。他認為，7月信貸收支的人民幣貸款增加6,790億元，而社會融資的人民幣貸款金增加4,088億元，兩者相差高達2,702億元，代表商業銀行很多貸款實則流入金融體系而非實體經濟，形成某種程度上的「資金空轉」。</p><p></p><p>他進一步解釋，7月份票據融資較上年同期多增1,365億元，占當月人民幣貸款增量的46.2％。這表明實體經濟貸款需求不振，銀行必須透過票據貼現完成貸款指標。資金充裕之下若再下調政策利率，可能刺激金融機構「借短買長」，甚至導致高等級信用債與10年期國債殖利率倒掛。</p><p></p><p>此外，也可能導致企業以較低成本發債後，並沒有擴大生產與投資的動力，而是將融到的錢轉手投資於銀行高收益的理財和結構性存款等產品，反而對實體經濟不利。因此他認為繼續下調政策利率的可能性不高。</p>"
2022/8/31	離岸風機安裝 年底拚200座	<p>受到疫情影響，打亂全球離岸風電建設期程。經濟部30日表示，累積至29日已完成今年第100座風機安裝，加上過去完成43座，累計已完成143座風力機，朝年底突破累計200座目標前進。</p><p></p><p>經濟部說，離岸風電進入密集施工階段，去年底已經完成兩座示範風場共43座風力機，力拚今年200座的目標，才能達成2025年離岸風力裝置容量達5.6GW以上，以確保電力供應穩定，兼顧降低空污及減碳，達成能源轉型目標。</p><p></p><p>據資料顯示，今年有四個開發商風場正積極施工，包含沃旭大彰化風場、CIP彰芳一期風場、達德能源允能風場、上緯新能源SRE、捷熱能源、麥格理共同合資的海能風場，預估今年底台灣海峽累計可設置達200座以上。</p><p></p><p>經濟部強調，風場建置成功吸引國際知名開發商來台投資，也建立離岸風電產業園區與水下基礎、塔架、鑄件、機艙罩等生產基地，同時吸引全球兩大風力機設備大廠（Siemens Gamesa與Vestas）在台建置亞洲第一個風力機機艙組裝廠、建立亞洲最大葉片生產基地。也促成跨國合資設置海事工程公司，其中Green Jade更是台灣首艘可用於離岸風電全迴旋大型浮吊船，風電產業供應鏈與相關自主技術能量逐漸到位。</p><p></p><p>經部說，預計至2035年離岸風電將達20.6GW，給國內企業強大綠能後盾，因應RE100綠電需求，打進國際競爭市場。</p>
2022/8/31	越股基本面優 長線有潛力	<p>受到全球股市明顯回檔整理影響，越股今年來也同步拉回，近月已止跌並持續反彈中，儘管越股短期不免會受美股及全球股市走勢干擾，但法人表示，就中長期角度觀之，越股基本面佳、具潛力，且往年第四季通常為越股傳統旺季，歷年平均季報酬率為全年最高，逢回可布局。</p><p></p><p>對於越股後市展望，中國信託越南機會基金經理人張晨瑋表示，從流動性觀察，越南指數自8月開始，已漸脫離前七月低氣壓，惟近期仍受全球經濟與消息面影響而震盪；長期來看，因越南基本面良好、政策刺激發上加上本益比偏低，對投資人而言相當值得布局。</p><p></p><p>根據世界銀行的預測，越南製造業的韌性及服務業的強勁反彈，成為越南經濟復甦的驅動力，預估越南今年GDP成長率將來到7.5％、明年為6.7％。張晨瑋指出，目前越南政府不斷祭出利多政策刺激經濟及激勵當地發展，長期來看是越南是相當具爆發力的國家，因此看好其後市表現。</p><p></p><p>日盛越南機會基金研究團隊表示，越南股市在今年前七月充分反映了利空消息而走弱，8月以來出現亮眼反彈，至8月29日約有6％的漲幅，相較其他亞洲國家股市漲幅更加突出。</p><p></p><p>目前的越南經濟基本面仍然強勁，越南工商部預期若第三季及第四季工業生產指數分別上漲9.8％和10.3％，加上上市公司利潤，預計將保持良好增長，企業第三季的業績成長表現或將遠超市場預期，股市表現仍可期。</p><p></p><p>富邦投信統計2007～2021年富時越南30指數平均月報酬，發現越股淡旺季效應顯著，往年第一季皆為淡季，歷年平均季報酬率僅1.5％，為全年最低；第四季則為傳統旺季，歷年平均季報酬率達7.2％，為全年最高。</p><p></p><p>富邦越南（00885）ETF經理人楊貽甯楊貽甯指出，目前越股已重回到季線之上，流動性回升至三個月水平，越股歷經前波修正後，短線再大跌機率不高，長線看好投資潛力。</p>
2022/8/30	《國際經濟》歐元區8月經濟信心下滑 遜於預期	<p>周二官方公布的資料顯示，歐元區八月的經濟信心下跌，超過預期。工業和服務業的信心滑落，拖累主要指數；而消費者、零售業、營建業的信心則轉好。</p><p></p><p>歐盟執委會每個月調查的經濟信心指數，七月下修為98.9，八月則來到97.6，表現遜於路透調查經濟學家預期的98.0。</p><p></p><p>工業部門的信心則從七月的3.4跌到1.2；服務業則從10.4跌到8.7。</p><p></p><p>同時之間，八月的消費信心從-27.0改善到八月的-24.9；零售業則從-7.1回升到-6.3。</p><p></p><p>製造業的通膨預期則從七月的45.3降到43.7，並且延續了自四月59.3見頂以來的逐漸下滑趨勢。</p><p></p><p></p><p></p><p>消費者對於未來12個月的通膨壓力也有所降低，消費者通膨預期從七月的42.7降到36.8，也遠低於三月歷史高點的62.8。</p><p></p><p></p>
2022/8/30	《國際經濟》俄羅斯經濟衝擊較預期輕 今年通膨率約12%	<p>俄羅斯副總理Andrei Belousov在周一指出，2022年俄羅斯經濟將萎縮不到3%，萎縮程度較預期的輕許多，通膨率也低於原先預期。</p><p></p><p>由於西方制裁行動，俄羅斯經濟受到衝擊。但事實證明，經濟影響不像當初設想的那般嚴重。</p><p></p><p>副總理說，俄羅斯今年GDP將跌到萎縮略微超過2%，到2023年則會萎縮不到1%。</p><p></p><p>上一次在八月中旬的預測為今年經濟萎縮4.2%。而更早時候俄羅斯一度警告，今年經濟將下跌超過12%，為20世紀90年代蘇聯解體以來的經濟最大降幅。</p><p></p><p>Belousov說，儘管受到前所未有的西方制裁，許多外國公司也紛紛離開俄羅斯，但政府沒有看到勞動力市場狀況惡化的跡象。</p><p></p><p></p><p></p><p>俄羅斯六月失業率為3.9%，為自1992年以來最低水準。</p><p></p><p>副總理也說，此前盧布貶值到歷史低點之時，通膨在四月飆升到17.8%。但現在預估全年通膨率在12%至13%之間，低於此前預估。另外由於政府對西方產品的「平行輸入」計畫，消費性產品的進口出現反彈。</p><p></p><p>副總理說，進口是一個關鍵問題，因為西方限制俄羅斯進口，是整體制裁俄羅斯的主要邏輯之一。</p><p></p><p>此外隨著俄羅斯失去進入歐洲市場的管道，今年非商品出口將下降17%。不過，由於有了新的貿易路線和平行進口，消費品進口幾乎已經恢復。</p><p></p><p></p>
2022/8/30	德國敢脫鉤大陸？專家警告若做這件事 經濟就會完蛋了	<p>上周傳出德國聯邦政府有意收緊企業對外投資的擔保政策，引發德國對大陸的經濟政策出現改變的聯想，有專家認為，若德國真的對投資大陸採取限制措施，德國經濟將遭遇巨大打擊，尤其在汽車、機械製造及化工領域。</p><p></p><p></p><p></p><p>德國商報引述6名高級官員的說法指出，經濟部希望大幅縮緊提供給德國企業對外投資的擔保規模與規定，甚至已經有具體方案流出，針對每個企業與每個投資國家的擔保金額都會設上限。此前，德國政府為了扶植企業跨足國際，提供直接擔保選項，讓德國企業能擁有更多資源。</p><p></p><p></p><p></p><p>在此背景下，大陸成為許多德國企業相當依賴的市場與生產地，但隨著近年地緣政治風險升溫，德國政府呼籲企業降低仰賴單一國家的比重。報導提到，德國政府認為自己被迫干預企業對大陸的投資，主要是企業界雖承諾不仰賴大陸，但背後卻經常做出相反的舉動，今年上半年，德國企業在歐洲的投資金額就高達100億歐元。</p><p></p><p></p><p></p><p>儘管如此，大陸官媒環球時報引述不具名專家的看法表示，如果德國政府真的對投資採取限制措施，那麼德國的經濟將會受到巨大打擊，尤其是汽車、機械製造與化工等領域，因此他認為，德國對大陸的政策或許會出現改變，但不至於走到對立面。</p><p></p>
