,title,body,publish_time
10,《金融》台灣CFP已認證人數達2432人,"<p>台灣理財顧問認證協會舉辦「2022年CFP/AFP授證典禮」，依據國際理財顧問認證總會（FPSB）截至2021年底統計，全球CFP認證人數已突破20萬人，與去年相比成長約5.5％，台灣CFP已認證人數達2,432人，成長率達12.9％，位居前6大高成長會員國，各金融機構紛紛投入資源，培育具備金融多元跨領域專業人才，尤其是銀行界與保險業，更積極培育CFP、AFP新世代金融菁英，來協助高資產人士建立與執行跨領域的理財計畫，達到期望的理財規畫目標。</p><p>　FPAT理事長也是國泰金總經理李長庚表示，疫情衝擊全球的生活，加上今年市場的波動，有更多民眾需要理財的建議，期許CFP/AFP運用專業，有彈性的因應市場變化，幫助客戶把握機會規避風險，提升理財人員的價值。每位持證人持續提升專業，CFP的核心精神是全方位理財顧問，是伴隨著客戶的一生，幫助客戶得以實現更好的生活計畫。</p><p>　國內統計至今年上半年，多家大型金融機構紛紛實行鼓勵及補助員工報考測驗及認證的獎勵措施下，取得認證總人數來到新高，至今累計的教育訓練人次已經超過6萬5千人次，近兩屆新科持證人國內新取得CFP國際專業認證計有425人，取得AFP專業認證計有176人；此外，南山人壽積極培養CFP及AFP顧問人才，新科持證人數居冠，中國信託商銀在通過率上表現亮眼，且成長率高達3成，同時也在高資產客戶業績銀行排名第一，國泰人壽共有433位CFP及AFP持證人，為保險業最高。　</p><p>　面對貧富差距持續擴大，M型社會明顯的狀態，比起單純儲蓄，現代人更須具備FQ（Financial Quotient）財務智商，來因應自身對於像全球疫情爆發、烏俄戰爭導致能源、糧食價格劇烈起伏等震盪且不確定性的新型經濟狀態，除此之外，也更加需要資產配置方面的專業建議，這也是近兩年全球CFP人數不斷高度成長的重要原因。</p><p></p>", 08/28 11:29 
11,《半導體》ABF新產能入列 世芯-KY下季營運拚轉強,<p>世芯-KY(3661)上半年營收、稅後淨利及EPS均創同期新高，儘管全球總經放緩，但世芯-KY來自北美、大陸市場HPC(高速傳輸)設計及量產需求仍維持強勁，預計在ABF載板短缺問題紓解下，第四季營運將有顯著成長。</p><p>  世芯-KY上半年營收55.9億元、年增加4%，平均毛利率36.5%，營業利益率19.9%，稅後淨利8.8億元、年增加13%，累計每股稅後淨利為12.33元。世芯-KY上半年儘管面臨供應鏈問題，但營收、稅後淨利及EPS均創同期新高。</p><p>  展望第三季，世芯-KY預估，營收比重、毛利率將與第二季相近，且今年上半年累計設計案將於第四季或明年初Tape-out(layout好的IC案子送至晶圓廠做成晶片)，將貢獻NRE(委託設計)營收。</p><p>  世芯-KY上半年營收增幅略低於先前預期，主要因供應鏈問題所致，預計ABF載板短缺問題將持續至第三季並影響營收，第三季底會有新載板供應商加入，但需要一些時間，預估第四季逐步改善。世芯-KY預計10月營收溫和月增，11、12月營收趨勢向上，整體而言，第四季將有較顯著成長，儘管全球產業景氣放緩，但世芯-KY來自北美、大陸市場HPC(高速傳輸)設計及量產需求仍維持強勁未見轉弱，看好營收動能將延續至2024年中。</p><p>  NRE設計方面，世芯-KY於7/6/5/4奈米先進設計製程保持產業領導地位並獲客戶詢問，來自北美及大陸設計需求均強勁，預期NRE營收自第四季至2023年將維持成長，未來兩年高效運算設計製程將持續從7奈米過渡到6/5奈米，整體而言，世芯-KY認為，NRE營收動能是線性成長，量產則是指數成長。</p><p>  另外，車用方面，世芯-KY已獲多家EV(電動車)業者接觸，部分設計案將開展，預計2024年將成為另一營收成長動能。</p><p></p>, 08/28 11:09 
12,《國際產業》幣安與韓釜山市簽署MoU 促區塊鏈產業發展,<p>加密資產與區塊鏈基礎設施提供商幣安，與韓國釜山市簽署諒解備忘錄（MoU），釜山市將獲得幣安提供的技術和基礎設施支援，以發展該市的區塊鏈生態系統和推廣釜山數位資產交易所，幣安表示，將於今年年底前在釜山開展業務工作。</p><p>　幣安計畫以多種方式促進釜山市區塊鏈行業的發展，透過釜山的區塊鏈無監管特區（regulatory-free zone）促進區塊鏈計畫和業務、支援城市中與區塊鏈相關的研究和投資、提供來自幣安學院的專業區塊鏈教育和線上資源、透過幣安慈善推動促進社會公益事業發展、協助組織2022年釜山區塊鏈週（BWB 2022）。</p><p>　幣安首席執行長兼創辦人CZ（趙長鵬）表示，透過幣安在行業領先的地位和技術專長，結合釜山市對區塊鏈行業的大力支持，我們希望對推動城市內外加密貨幣的採用有所幫助。期待與釜山市密切合作，協助建立數位資產交易所和各種區塊鏈產業。</p><p></p>, 08/28 10:38 
13,《台北股市》焦點股-上品,<p>上品(4770)2022年前7月每股純益已達12.03元，下半年營收成長動能強勁，表現可望比上半年來得更好，上週五個交易日累計漲幅高達29.4%。</p><p>  上品主供應半導體與石化業氟素材料與設備，客戶為國內晶圓大廠、電子級化學品供應商與半導體統包廠。受惠半導體擴產計畫持續，7月自結稅後盈餘1.42億元，年增103.31％，EPS1.8元，前7月EPS已達12.03元。</p><p>  上品深耕氟素材料的加工製造領域，業務範圍從石化延伸至光電業、半導體、特用化學品及能源環保產業，目前產品應用於半導體產業約76%、石化產業約13%、面板及太陽能約5%及能源環保約2%。</p><p>  受惠半導體產業蓬勃發展，在半導體供應鏈資本支出增加下，市場需求維持高檔，上品訂單能見度明朗，法人預期，今年下半年度營收有機會較上半年度成長超過2成。</p><p></p>, 08/28 10:08 
14,《金融》中美關係持續惡化 通膨難題愈發棘手,<p>PIMCO最新報告指出．根據最新發佈的消費者物價指數，美國整體與核心通膨一如預期地在7月趨緩。假設後續全球糧食與能源大宗商品價格持續下降，今年6月的整體通膨年增率有望成為此次循環的高點。儘管如此，預料核心通膨年增率將在8月再次加速攀升，且可能要到9月才觸頂。</p><p>  儘管通膨浮現降溫的前景，但是降溫後的通膨仍將高於聯準會的目標。故此， PIMCO認為，聯準會料將維持緊縮的貨幣政策。換言之，為了確保美國通膨能夠重回並穩居目標水準，未來聯準會不排除仍有多次大幅升息的機會。</p><p>   PIMCO指出，美國薪資通膨已從低薪、低技術門檻的服務業進一步擴大至各個產業、職業、與技術門檻。亞特蘭大聯邦儲備銀行的薪資追蹤指標已大幅攀升，且攀升軌跡呈現非線性的菲利普斯曲線，並/或反映加速攀升的通膨預期水準。此外，薪資上漲的同時，勞動生產力卻陷入衰退，導致單位勞動成本大幅上漲。故此，預其未來企業將調高定價以維持利潤率。</p><p>  此外，中美關係持續惡化，且考量兩國領袖展現的態度，PIMCO表示，很難想像當前局勢能有所改善。中國國家主席習近平的政權穩固，且中國民眾向來可團結對抗挑戰。多年來，中國藉由各種政策強化經濟實力和抵禦外部的衝擊－例如美國對中國的敵意漸增。短時間之內，中國領導人可能得要稍微踩政策煞車－例如雙循環經濟模式與共同富裕政策，因為中國正面臨嚴峻的經濟成長挑戰（其中包括防疫封控措施的影響，以及岌岌可危的房市）。話雖如此，這些政策仍將是中國長期首要的施政方針。</p><p>  PIMCO也提出，烏俄戰爭對中國帶來值得深思的問題。看到俄羅斯遭到的國際制裁，預料中國領導人將提前做好準備，以防未來採取行動時（例如台灣相關問題）遭到美國祭出類似的制裁措施。然而，準備談何容易。舉例來說，中國雖然擁有大量外匯儲備，但絕大部分都是美元計價資產。在欠缺其他替代品的情況下，要大幅降低美元儲備的比重可謂不切實際，但中國可能會設法提高以人民幣結算的國際貿易佔比。</p><p>  倘若中國無法大幅降低手中資產面臨的風險，屆時中國可能反將累積更多的外債；一旦中國的資產受到威脅，這些外債亦將面臨倒債危機。換句話說，中國將以此作為遏止手段，防範可能的「資本戰爭」。有鑑於中國的經濟規模之大，一旦美中爆發資本戰爭，全球料將受到龐大影響。並使得消費物價長期居高不下。</p><p></p>, 08/28 09:28 
15,產業署揭牌 呂正華說明重要業務,<p>數位發展部於今（27）日上午揭牌，產業發展署隨後於下午揭牌。產業署署長呂正華表示，產業發展是最重要一環，會想盡辦法讓台灣數位產業有更高競爭力。另以「R、I、S、E」做為未來業務推動的重點。</p><p>產業署27日下午舉行揭牌儀式，由產業經驗豐富的經濟部工業局呂正華前局長為首任署長，數位部部長唐鳳率政務次長李懷仁、闕河鳴及常務次長葉寧、資策會董事長李世光等貴賓，馬不停蹄地幫產業署揭牌。唐鳳期許產業署扮演推動數位產業「踩油門」的角色，以開放、共創、共融的精神引導數位產業發展，並協助推動各行各業數位升級，實現智慧國家的願景。</p><p>產業署說，該署以促進數位經濟相關產業發展與數位科技應用事項政策規劃及執行為主要業務，設置政策規劃、通訊傳播、平台經濟、新興跨域、數位服務共5個業務組，行政院已於8月8日核定處務規程與編制表，設立初期預算員額為150人；另因新光中繼辦公室刻正進行施工申請與隔間施作，預計至10月底完工前，暫先租用台北市重慶南路二段51號3樓辦公室提供掛牌後產業服務。</p><p>呂正華致詞時提到，數位部要因應「社發、產發、突發」，以「三發」打造全民數位韌性，其中產業署主管的「產業發展」在他看來是最為重要的一環，署內各組要基於執掌，想盡各種辦法把台灣的數位產業發展做得很有競爭力，才能支持「社發」所需的基礎，也才能有足夠的實力因應「突發」的資安事件。</p><p>呂正華特別以「R、I、S、E」做為未來業務推動的重點，R代表韌性(Resilience)、I代表整合(Integration)、S代表安全(Security)、E代表賦權(Empowerment)。台灣因為防疫有效作為，口罩國家隊在產業界共同努力下使命必達，其後各行各業對於供應鏈韌性的表現，數位的應用（例如口罩地圖）在國際間也是膾炙人口，如何讓數位在供應鏈韌性中持續扮演關鍵角色，將是未來首要之務。</p><p>其次，呂正華說，在過去，數位產業分散於各部會的推動經驗中，業者對於如何整合部會資源甚為重視，這個課題在數位部成立後將積極推動統合，例如在「雲市集」平台將統合協助產業數位轉型，使得政府在數位產業的資源投入與產出效益極大化。</p><p>再來，呂正華表示，網路資安議題，在萬物聯網時代，雖然大家已經開始重視資訊安全，並且設有資安署進行資安維護相關業務，可是如何轉化此一鍛煉的經驗為資安產業發展的契機，在資安即國安的重要課題中，將Security能力轉化成產業發展的動力，也會是產業署推動產業的重要事項。</p><p>呂正華說，E則代表賦權(Empowerment)，在管理上賦權與增能往往是提振團隊士氣的良方，在數位產業發展上，產業署各組組長的賦權與增能當然是必要的方式；而在數位衍生到產業應用之中，不僅能夠使原有產業激盪出新的火花，在數位轉型方面，有專家說「與其加班做EXCEL，不如下班看數位儀表板」，就是數位導入後可以達到如虎添翼、萬物增幅的功能，而這也是另一種數位增幅與賦權的推動方式。</p>, 08/27 20:10 
16,台灣輔助醫學「元年」誕生 攸關40萬輔助醫學大軍出路,<p>醫界盛會「2022國際輔助醫學高峰會」今（27）日於東海大學舉行，由於攸關40萬從業人員的出路，因此備受各界重視！副總統賴清德以錄影模式致詞時強調：「台灣是輔助醫學和AI人工智慧的結合的領航者；輔助醫學的推動『現在正是時候』！」</p><p>「2022國際輔助醫學高峰會」歷經疫情兩度推延進度後，27日迎來了開幕式。這次大會除集結了「輔助醫學」各項創新展覽，琳瑯滿目的民俗療法工作坊，以及來自世界各地的學者專家論文發表外，還頒發了四大獎項，因而被喻為台灣的「輔助醫學元年」。</p><p>大會主席暨台灣輔助醫學醫學會理事長陳韜名說，醫學會成立的四個使命，便是「合法化、科學化、學術化、普及化」，更擔負著「承先啟後」的大任，融合成具有台灣特色的輔助醫學，期待對全人類有一個具體的貢獻。</p><p>陳韜名強調，因應時代的需要，輔助醫學也正面對著超高齡化社會的來臨，輔助醫學在安養樂齡的照護上，配合教考制度的一條龍連結，將傳承千年的人類智慧結晶配合當代科技的創建，以便提升台灣民眾更好的生活品質。</p><p>東海大學在為期3天的高峰會中則扮演了穿針引線，以及為促進輔助醫學與AI人工智慧的研究成果與技術發展，提供專業知識與見證。東海大學董事長吳清邁也參與這場盛會。</p><p>而東海大學校長張國恩則幽默地表示，這場高峰會之所以重要，「是因輔助醫學的第一次盛會就給了東海」；東海大學終身特聘教授朱正忠博士指出，有186位來自世界的學者專家共同付出心血，將近800位的輔助醫療領域的工作坊相挺大會。</p><p>此外，邀請貴賓來自政商醫各界菁英，包括身兼醫學會榮譽會長的立委林楚茵、台中榮總院長陳適安、童綜合醫院策略長李三剛，以及天主教台中教區副主教黃清富。而宏碁集團創辦人施振榮則以錄影模式演說，台灣微軟公共業務事業群總經理陳守正則親臨會場進行專題演講，陣容盛大。</p><p>高峰會首次頒獎予四位從事輔助醫學領域的傑出人士，都擁有相當堅實的粉絲群，分別為著名的足部反射大師吳若石神父，獲得輔助醫學終生成就獎；終身都在從事輔助醫學相關工作的東西整合醫學中心院長何逸僊，獲得輔助醫學終生成就獎；結合輔助醫學AI大數據、IFEEL生物訊息預警系統專家高明志執行長，獲輔助醫學世紀領航獎；針對輔助醫學的學術化提供一個有國際高度的平台，主編國際醫學核心期刊「傳統與互補醫學期刊」的沈立言教授，獲得輔助醫學承先啟後獎。</p><p>為了增添文藝氣息與人文關懷，大會特別邀請全國動物醫院事業群執行長陳道杰，展現才藝拉小提琴做為開幕序曲，一首悠揚的旋律「白天的星星」贏得了場內300多位嘉賓的如雷掌聲。</p><p>「台灣輔助醫學醫學會」成立於民國110年7月，早在二、三十年前，輔助醫學就存在台灣民間，只是一直沒有包含在台灣的「部訂專科醫師」範圍，也不屬於「醫療法」管轄，是一種在正規治療之外的另類療法。由於各種利益衝突，與藥廠與政府部門之間的抗衡，使得「輔助醫學」走來篳路藍縷。</p><p>民眾所熟悉的輔助醫學，包括了傳統認知的「筋絡網絡」、「徒手矯治」」、「刮痧撥筋」，還有漢方草本等調理方式；意識情緒方面，也有「音樂療法」、「芳香療法」；在能量頻率面向，則結合針灸、頻率與聲、光、電、磁等多元媒介處理身心遇到的問題。</p><p>台灣在輔助醫學領域奮鬥的菁英，也紛紛一展身手，10多場的體驗工作坊讓參與民眾大呼過癮，也令全台近40萬從事輔助醫療的工作者為之振奮。</p><p>「輔助醫學」在台灣也許還是個陌生的名詞，但如果提到「民俗療法」、「芳療」，相信民眾應該再熟悉不過。只是「輔助醫學」的範疇不僅單純如此，事實上，只要涉及非藥物及開刀手術的醫學及方法，都能包含其中。</p><p>但，現行的「醫療法」中，民間大多數從事民俗療法的業者，都不屬於「醫事人員」。然而，台灣有超過40萬相關的從業人口，他們大部分因為無法從事「醫療行為」，只能遊走在法律的灰色地帶。</p><p>目前世界各地使用輔助及另類療法的人越來越多，此議題的重要性也逐年上升。美國從1991年到1997年，花費在輔助及另類療法的經費從4億增加到超過6億美元，而在一年內曾求助於輔助及另類療法的人的比例，亦從33.8％增加至42.1％。</p><p>2021年籌備多年的「台灣輔助醫學醫學會」終於成立，可能有人會覺得好奇，為什麼「台灣輔助醫學醫學會」要重複「醫學」兩個詞？首先，這是台灣唯一一個報備衛福部並經過內政部核准成立的「輔助醫學」組織。當初在命名時，前衛福部長陳時中認為，應該要發展「台灣特色」的輔助醫學，因此將「台灣輔助醫學」做為一個專有名詞。</p><p>在「台灣輔助醫學醫學會」的登高一呼下，沒想到全台竟有50多家輔助醫療領域的創新業者，以及相關的組織工會加入，原本只打算舉辦學術研討會，瞬間提升成為含括了創意會展、體驗工作坊、世界級學者專家發表論文、頒發首屆輔助醫學獎的「高峰會」規模；顯然，具備40萬大軍的輔助醫學產業，確實蘊含了巨大潛力，讓產官學界均抱持高度期待，輔助醫學也以醫界的明日之星姿態正式登上舞台。</p>, 08/27 19:55 
17,光禹嘉義文創園區 獲專案貸款補助,<p>光禹國際（6595）今（27）日代子公司光禹文旅公告，通過經濟部投資臺灣事務所「中小企業加速投資行動方案」專案貸款等補助措施，將加速融資、園區整體蓋建效率。</p><p>光禹文旅是光禹國際100％投資公司，在2月與嘉義縣政府簽約建設嘉義微型文化創意園區，估計投資逾14.5億元，以數位藝術及荷蘭印象發想，打造Holo Park羊角藝術村，園區規劃數位文創區及藝宿區，如世界聯合沉浸藝術中心、故宮IP藝宿區及親子互動多媒體。</p><p>園區將導入核心技術全息投影，結合5G高頻寬低延遲特性，首創5G全息雙地雙向Live表演，並關注氣候暖化議題，預計投資5億元，於建築物及停車場設置太陽能板、車充、儲能等設施。</p>, 08/27 19:33 
18,北高指標案「鳳凰冠」落成 已購戶提前回娘家,<p>高雄北區指標個案「隆大鳳凰冠」全新落成，隆大營建為服務客戶，27日特別舉辦「歡樂家年華」派對活動，邀請已購客回娘家，提前讓準住戶體驗未來好生活、分享即將入住新社區的喜悅，另特別邀請咖啡拉花冠軍林紹興至現場與貴賓互動。</p><p>「鳳凰冠」座落於橋頭新市鎮，位於高科技S廊道核心，鄰近台積電、橋頭科學園區；鄰近捷運站，都會公園面積廣大、環境綠意十足，距離國立高雄大學商圈不遠，生活便利性足夠，堪稱目前高雄青年成家最夯購屋地點之一。</p><p>基地面積約2085坪，規畫26-43坪產品的「鳳凰冠」，為橋頭新市鎮現在個案中，唯一規劃花園泳池、健身房、羽球場、SPA、KTV等豐富公設的大型全新成屋。除有隆大營建品牌力加持外，也瞄準台積電、橋科人口進駐。</p>, 08/27 19:22 
19,城揚建設首推地上權案 訂價所有權70％,<p>城揚建設集團首度推出地上權住宅案，基地位於高市鳳山五甲公園的「城揚大家」每坪開價27.5萬至32萬元，總銷約35億元，銷售策略以所有權住宅的70％計算，不包含車位最低570萬起，瞄準較能接受地上權案的年輕族群。</p><p>城揚首席副總經理陳靜儀指出，「城揚大家」是城揚首度推出地上權大樓建案，銷售過程會花多點時間向客戶解說，初步觀察年紀40歲以下族群對於地上權案接受度高，但後續隨著該案公開後，客戶年齡層、職業別等可再觀察。</p><p>陳靜儀表示，「城揚大家」規畫2、3房產品，從20坪到37坪，每坪開價27.5萬元到32萬元，不含車位，每戶從570萬元到1100萬元，總銷約35億元。</p><p>負責代銷的廣誠國際董事長董上裕指出，「城揚大家」位於1.4萬坪五甲公園最頂席，鄰近「特貿三」投資計劃、高雄軟體科學園區、5G AIoT創新園區等。走路約10分鐘，捷運紅線R5站、黃線Y23捷運計劃站活力交會，1站接駁C3輕軌。</p><p>董上裕提到，永信建設近期在該區段也推出所有權住宅「禾豐」，每坪開價40萬元至52萬元，「城揚大家」訂價策略就是所有權住宅約7成。</p><p>「城揚大家」今下午舉辦「大家嗨年華」感恩開幕活動，鼓陣、舞獅「勁」情開場，哈雷重機車隊遊街造勢，捍衛戰士主題曲迎賓、街舞團體熱力舞動，高潮迭起的街舞、青春歌舞秀、愛心公益活動、行動餐車好食派對等生活主題，將熱鬧氣氛推向高點。</p>, 08/27 19:04 
20,橋頭新市鎮建案鳳凰冠落成 邀準住戶提前體驗,"<p>隆大營建（5519）位於橋頭新市鎮的大樓建案「隆大鳳凰冠」，今年8月開始交屋，隆大27日邀請在預售時的「準住戶」，提前體驗新社區的喜悅、以及社區公設等未來好生活。</p><p>隆大營建27日下午舉辦「歡樂家年華」派對活動，邀請已購客回娘家，提前讓準住戶體驗未來好生活、分享即將入住新社區的喜悅，並邀請咖啡拉花冠軍林紹興，在現場與「準住戶」互動，品嚐醇香咖啡。</p><p>隆大副總經理吳煜文表示，「鳳凰冠」基地面積約2,085坪，地點就在政府全力推動的橋頭新市鎮，位於高科技S廊道核心，鄰近台積電、橋頭科學園區、鄰近捷運站、以及都會公園，距離國立高雄大學商圈不遠，生活便利性足夠。</p><p>吳煜文指出，該案享有契稅、房屋稅、以及地價稅「三稅減免」的優惠，產品介於26坪到43坪的「隆大鳳凰冠」，總戶數445戶，3年前預售時，售出275戶之後，便封盤了，當時的售價平均每坪16萬元，今年8月完工之後的成屋銷售，每坪開價在27萬元到30萬元之間。</p>", 08/27 17:35 
21,南台灣推案王首度進軍地上權住宅 城揚大家開賣,"<p>南台灣推案王城揚建設集團，首度進軍地上權住宅，位於五甲公園的「城揚大家」正式開賣，每坪開價27.5萬元到32萬元，而同一生活圈的永信建設，推出的所有權住宅「禾豐」，每坪開價40萬元到52萬元，「城揚大家」的訂價策略就是以所有權住宅的70％，不包括車位的每戶售價介於570萬元到1,100萬元之間。</p><p>城揚建設集團的地上權大樓建案「城揚大家」，27日下午舉辦「大家嗨年華」開幕活動，承辦的揚揚文創特別請來哈雷重機車隊遊街造勢，還有青春歌舞秀、愛心公益活動、行動餐車好食派對，帶動熱鬧氣氛。</p><p>城揚首席副總經理陳靜儀27日表示，向來以興建所有權住宅的城揚建設集團，第一次推出地上權大樓建案「城揚大家」，在銷售上，會多花一些時間，向潛在客戶解說，但也發現，年紀在40歲以下的青年族群，對地上權住宅的接受度，相對比較高。</p><p>陳靜儀指出，「城揚大家」總銷約35億元，規劃2房和3房產品，從20坪到37坪，每坪開價27.5萬元到32萬元，不包括車位的話，每戶售價介於570萬元到1,100萬元之間。</p><p>負責銷售的廣誠國際董事長董上裕表示，「城揚大家」位於14,000坪五甲公園，走路大約10分鐘，就可抵達高雄捷運紅線R5站、以及規劃中的捷運黃線Y23站。</p><p>他說，「城揚大家」屬於亞灣生活圈，鄰近夢時代購物中心、SKM Park、大遠百、SOGO、新光三越，而全台最大、公辦都更案「特貿三」投資計劃、高雄軟體科學園區、以及5G AIoT創新園區，陸續啟動，兼具產業優勢和生活便利。</p><p>「城揚大家」的基地附近，過去也有永信建設推過地上權住宅「R5新世界」和「R5新世紀」，董上裕指出，永信建設最近也在該區推出所有權住宅「禾豐」，每坪開價40萬元到52萬元，「城揚大家」的訂價就是所有權住宅的70％左右。</p>", 08/27 17:11 
22,鎖定元宇宙及智慧醫療商機 高雄經發局媒合新創與大廠合作,<p>「亞灣創新x新創大南方」展會活動，27日進入第二天，高雄經發局鎖定元宇宙及智慧醫療需求，舉辦「亞灣創新‧新創發光」商機共創媒合會，邀請30家新創，與美商Coinllectibles、義大視覺特效、智崴科技、敏盛醫療、智康創投、緯創醫學、亞太精準抗衰老醫學會等七家大廠及法人代表交流，並依據業別分組，進行商洽媒合，以大帶小共創商機。</p><p>高雄經發局長廖泰翔27日指出，高市府團隊積極引進台積電、默克、英特格等大廠，短短兩年，吸引投資超過5千億元，帶動產業結構面轉型，同時聯手中央推動亞灣5G AIoT創新園區、舉辦綠色科技新創大賽，配合自營的KO-IN、DAKUO新創基地提供輔導，媒合新創對接大廠及政策資源，盼透過「亞灣創新x新創大南方」及商媒會，促成更多以大帶小合作案例，加速高雄蛻變為智慧科技港都。</p><p>緯創醫學科技智能醫療資深經理林聖㛓表示，醫療與科技的結合為全球趨勢，各國醫療產業積極運用ICT、AI改善各項醫療服務，緯創近年也透過數位病理研發、建構台灣癌症治療的精準醫療平台及健康管理平台，跨足銀髮照護及慢性病照護產業，盼透過媒合商洽網羅更多以AI、數據及遠距解決方案，加速應用落地。</p><p>參與商媒會的高雄在地新創雄欣科技創辦人李佳欣指出，數據偵測是發展智慧醫療最重要的一環，雄欣針對老人照顧開發出「AI照護辨識服務系統」及「保命防跌系統」兩套系統，能在醫療試驗場域放置毫米波雷達後，搭配AI演算法獲取患者呼吸、心跳等生理訊號，第一時間掌握病徵，做出最佳醫護處理。</p><p>安永聯合會計師事務所審計營運長黃建澤會計師表示，安永是輔導國內新創登錄創櫃的領導者，為近一步強化新創生態系，今年更承接高雄經發局新創基地營運，促成多家新創廠商與企業合作，並針對ESG、元宇宙趨勢籌組綠能及元宇宙合作平台。期待透過商媒會集結國內外大型企業、新創、創投、加速器等各方力量，協助新創貼近產業需求，共創智慧科技產業應用商機。</p>, 08/27 17:08 
23,《產業》觀光局疫後迎客 「台灣樂遊趣」多元體驗展打頭陣,<p>交通部觀光局「台灣樂遊趣」多元主題旅遊體驗展26日於華山文創園區連3天登場，將六大國際魅力景區整合四大多元主題旅遊，以虛實整合方式展現不同主題，為疫後觀光迎接國際旅客的到來預做準備，並歡迎國人搶先體驗國際景區魅力。</p><p>　為促進疫後觀光產業發展，加速整備觀光旅遊環境，觀光局特別打造大野柳皇冠海岸、東北角沙丘藝域、山中明珠日月潭、星動阿里山、探索東海岸．天堂島嶼及澎湖黃金海岸等六大國際魅力景區，開創國際集客引客的觀光旅遊新亮點力。</p><p>　觀光局表示，「台灣樂遊趣」系列活動由為期3天的「多元主題旅遊體驗展」揭開序幕，以六大國際魅力景區中的生態、文化、美食、樂活四大多元主題旅遊內容，搭配加拿大環保音樂家馬修連恩打造的生態之聲，打造沉浸式的空間體驗各地風光，展現多元的台灣面貌。</p><p>　「台灣樂遊趣」也同步推出網路活動「旅行台灣 食尚攝影師就是你」，民眾於活動期間至觀光局活動貼文下方留言，分享自己所拍攝的台灣美食照片，即可獲得抽獎資格，最大獎可獲得台鐵鳴日號一日遊，享受最Chill的樂活之旅。</p><p>　觀光局指出，後續將陸續推出「台灣樂遊趣」3場系列活動，9月15日起結合觀光局轄下13個國家風景區管理處所經營的17個觀光圈推出「觀光圈數位集章好好玩」活動，及「走跳寶島 定格美好 明信片DIY活動」。</p><p>　而9月20日起將展開「高級玩家 網路拼圖遊戲」等一系列抽獎活動，最大獎為國旅基金2萬元，精彩又好玩的活動輪番上陣，讓民眾能透過活動體驗多元的台灣旅遊。詳細活動內容及相關資訊可至「台灣樂遊趣」活動官網查詢。</p><p></p>, 08/27 15:09 
24,海關與國防部憲兵指揮部簽署 偵爆犬及緝毒犬培訓合作協議,<p>財政部關務署與國防部憲兵指揮部簽署推動偵爆犬及緝毒犬培訓合作協議，由關務署長彭英偉及憲兵指揮部副指揮官夏德宇代表簽署，雙方將持續透過海關犬隻轉訓及憲兵指揮部人才培育，共同合作建立訓練平臺，促進偵測犬相關實務與技術經驗交流，因應反毒、反恐及維安需求，共同守護邊境與國人健康及安全。</p><p>彭英偉時表示，海關與憲兵指揮部於2018年及2019年分別簽署偵爆犬及緝毒犬訓練合作協議書，該合作協議分別執行至2021年及2022年底，迄今已協助憲兵指揮部訓練9隻偵爆犬及16隻緝毒犬，雙方就執勤犬培育及訓練合作已建立良好默契。透過本次培訓合作協議書再次簽訂，相信可以持續有效嚇阻走私行為，打造無毒家園，並達「拒毒於海外、截毒於關口、緝毒於境內」目的。</p><p>夏德宇表示，關務署提供拉不拉多適訓犬隻供該部訓練為緝毒犬及偵爆犬，並協助訓練領犬員及訓練師，增益憲兵軍犬隊同仁職能與專業，朝更多元方向邁進。鑑於國內執勤犬及領犬專業人才培訓不易，為提升整體緝毒能量，除國防部原有訓練課程外，藉由關務署共享實務經驗與資源，並取得訓練師專業證照，對提升該部領犬員及執勤犬隻素質，具有正面意義。</p>, 08/27 14:56 
